restaurant,city,menu_type,category,dish,price,description,tags
Jack and Jacky's,Leeuwarden,Lunch,Bowls,AÇAI BOWL,13.2,"Açai, banaan, kokosdrink, granola, pindaswirl, gojibessen, kokos, hennepzaad & blauwe bessen",
Jack and Jacky's,Leeuwarden,Lunch,Bowls,CHEESECAKE OATS,10.8,"Overnight oats, Griekse yoghurt, aardbeienpuree, blauwe bessen, granola, aardbeien & frambozen",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Bowls,MANGO MADNESS BOWL,11.6,"Mango, banaan, kokosdrink, aardbei, granola, hennepzaad, yoghurt swirl & kokos",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Bowls,BREAKFAST BOWL,10.1,"Griekse yoghurt, granola, banaan, chiazaad, blauwe bessen, frambozen, gojibessen & agavesiroop",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Pancakes,BERRY PANCAKES,14.6,"Bananen pannenkoekjes, Griekse yoghurtroom, banaan, rood fruit puree, blauwe bessen, frambozen, agavesiroop & aardbeien",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Pancakes,LEMON POPPY PANCAKES,14.3,"Bananen pannenkoekjes, opgeklopte mascarpone met mango en citroen, mango puree, blauwmaanzaad, passievruchtsaus & kokos chips",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Pancakes,KIDS PANCAKES,7.3,"Twee kleine bananen pannenkoekjes, blauwe bessen, banaan, aardbei & agavesiroop",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,TUNA,9.6,"Gegrild volkorenbrood, tonijnsalade, avocado, tomaat & huisgemaakte groene pesto",fish
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,CHICKEN,9.9,"Gegrild volkorenbrood, tomaat, gegrilde kip, avocado & huisgemaakte groene pesto",meat
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,KIMCHI,9.1,"Gegrild volkorenbrood, kimchi, smashed avocado, miso & komkommer",spicy
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,SPICY AVOCADO,9.6,"Gegrild volkorenbrood,smashed avocado, feta & crispy chili olie","spicy, vegetarian"
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,SALMON,11.9,"Gegrild volkorenbrood, gerookte zalm, furikake, avocado, hoisin zuivelspread, wasabidressing & komkommer","fish, spicy"
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,SERRANOHAM,11.6,"Gegrild volkorenbrood, serranoham, mozzarella, tomaat, sla, balsamico & groene pesto",meat
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,CEASER,10.6,"Gegrild volkorenbrood, gemarineerde kip, romeinse sla, ceaserdressing, gekookt ei & parmezaanse kaas",meat
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,BURRATA,10.9,"Gegrild volkorenbrood, burrata, pesto, zoete cherrytomaat, basilicum & pistachecrumble",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Sandwiches,CARPACCIO,11.3,"Gegrild volkorenbrood, pesto, rundercarpaccio, tomaat, sla, Parmezaanse kaas & truffelmayo",meat
Jack and Jacky's,Leeuwarden,Lunch,Salads,CHICKEN,14.9,"Gegrilde kip, avocado, crispy tuinbonen, komkommer, tomaat, geroosterde pittenmix, gekookt ei & huisgemaakte groene pesto",meat
Jack and Jacky's,Leeuwarden,Lunch,Salads,SALMON,16.9,"Gerookte zalm, furikake, avocado, hoisin zuivespread, radijs, wasabi dressing, komkommer & cashewnoten","fish, spicy"
Jack and Jacky's,Leeuwarden,Lunch,Salads,BURRATA,16.9,"Burrata, komkommer, vijgen, gerookte amandelen, tomaat, balsamico, huisgemaakte groene pesto & pistachecrumble",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Salads,CARPACCIO,15.3,"Rundercarpaccio, pesto, tomaat, komkommer, Parmezaanse kaas, crispy tuinbonen, zongedroogde tomaat & truffelmayo",meat
Jack and Jacky's,Leeuwarden,Lunch,Salads,EXTRA'S,2.0,Glutenvrij brood,
Jack and Jacky's,Leeuwarden,Lunch,Bakery,BANANABREAD,4.8,Van de grill met verse banaan,
Jack and Jacky's,Leeuwarden,Lunch,Bakery,CARROTCAKE,5.4,Met vanille frosting,
Jack and Jacky's,Leeuwarden,Lunch,Bakery,CHOCOLATE CAKE,5.4,Met drie soorten chocolade,
Jack and Jacky's,Leeuwarden,Lunch,Kids Food,KIDS PANCAKES,7.3,"Twee kleine bananen pannenkoekjes, blauwe bessen, banaan, aardbei & agavesiroop",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Kids Food,MINI YOGHURT BOWL,5.9,"Griekse yoghurt, granola, banaan, chiazaad, gojibessen, frambozen, blauwe bessen & agavesiroop",vegetarian
Jack and Jacky's,Leeuwarden,Lunch,Kids Food,BOWL OF FRESH FRUIT,4.5,Gevarieerd vers gesneden fruit,
Jack and Jacky's,Leeuwarden,Lunch,Kids Food,BANANABREAD,4.8,Van de grill met verse banaan,
Roast,Leeuwarden,Lunch,Soup,Currysoep,8.5,met kip en bosui,meat
Roast,Leeuwarden,Lunch,Soup,Mosterdsoep,8.5,met spek en bosui - kan vegetarisch,meat
Roast,Leeuwarden,Lunch,Egg Dishes,Gerookte zalm,19.5,op getoast briochebrood met gepocheerde eieren en Hollandaise,fish
Roast,Leeuwarden,Lunch,Egg Dishes,Gerookte biefstuk,19.5,op getoast briochebrood met gepocheerde eieren en Hollandaise,meat
Roast,Leeuwarden,Lunch,Egg Dishes,Oude kaas,14.0,op getoast briochebrood met gepocheerde eieren en Hollandaise,vegetarian
Roast,Leeuwarden,Lunch,Sandwiches,Carpaccio,15.0,"van gerookte biefstuk, pesto, zongedroogde tomaat en parmezaanse kaas",meat
Roast,Leeuwarden,Lunch,Sandwiches,Smashed Avocado,15.0,"met tomaat, chiliflakes, gepocheerd ei en Hollandaise","spicy, vegetarian"
Roast,Leeuwarden,Lunch,Salads,Caesar Salade,19.5,"met krokante kip, little gem, parmezaanse kaas, krokant spek en ansjovis-mayonaise","fish, meat"
Roast,Leeuwarden,Lunch,Salads,Geitenkaas Salade,17.5,"met appel, rode biet en balsamico",vegetarian
Roast,Leeuwarden,Lunch,Bijgerechten,Friet,5.0,,
Roast,Leeuwarden,Lunch,Bijgerechten,Truffelfriet,8.5,met truffelmayonaise en Parmezaanse kaas,vegetarian
Roast,Leeuwarden,Lunch,Bijgerechten,Zuurdesembol,7.0,met twee soorten boter,
Roast,Leeuwarden,Lunch,Burgers,Runderburger,19.5,"met gekarameliseerde ui, tomaat, cheddar, katenspek en BBQ-saus - geserveerd met friet",meat
Roast,Leeuwarden,Lunch,Burgers,Beyondburger,19.5,"met gekarameliseerde ui, cheddar, tomaat en BBQ-saus - geserveerd met friet",meat
Roast,Leeuwarden,Lunch,Burgers,Jalapeño-Cheddar hotdog,15.5,"Op brioche bun met relish van Amsterdamse ui, ketchup-crunch, mosterd-mayonaise, bosui en krokante ui","spicy, vegetarian"
Roast,Leeuwarden,Lunch,Sandwiches,Smashed Avocado,15.5,"op getoast desembrood met smashed avocado, tomaat, mozzarella en dressing van citroen en munt",vegetarian
Roast,Leeuwarden,Lunch,Sandwiches,Caesar Sandwich,15.5,"met krokante kip, little gem, parmezaanse kaas, krokant spek en ansjovis-mayonaise","fish, meat"
Roast,Leeuwarden,Lunch,Sandwiches,Geitenkaas,14.0,"met gesuikerde amandelen, rode biet en balsamico",vegetarian
Roast,Leeuwarden,Lunch,Sandwiches,Gerookte zalm,15.5,"met wasabi-mayonaise, avocado, gekookt ei, wakame en nori","fish, spicy"
Roast,Leeuwarden,Lunch,Lunch Specials,Lunchplank,22.5,"(Vanaf 2 personen) soepje en divers belegde broodjes, warm en koud",
